method,articles_processed,approved_articles,catalysts_detected,catalyst_coverage_pct,duplicate_rate_before_pct,duplicate_rate_after_pct,novel_event_rate_pct,source_citation_validity_pct,ticker_mapping_precision_pct,ticker_mapping_coverage_pct,sector_mapping_precision_pct,sector_mapping_coverage_pct,category_precision_pct,directional_precision_pct,low_confidence_output_pct,processing_latency_ms_per_article,first_seen_to_detection_seconds,unsupported_claim_rate_pct,model_failure_rate_pct,note
existing_flashfeed,108700,108700,21970,20.211591536338545,,,,,,,,,,,,,,,,"Precision requires human labels; coverage and agreement are measured, not called precision."
stonkwise_rules,108700,108700,2488,2.2888684452621892,,,,,,,,,,,,,,,,"Precision requires human labels; coverage and agreement are measured, not called precision."
improved_deterministic,108700,108700,7231,6.652253909843606,15.10164569215876,0,84.89835430784125,100,,78.28636585763154,,4.1537709724710865,,,18.162567193353965,0.03330269204231831,,0,,"Precision requires human labels; coverage and agreement are measured, not called precision."
optional_ai_structured,108700,108700,0,0,,,,,,,,,,,,,,,100,No local LLM provider available; deterministic fallback used. No AI metrics fabricated.
combined,108700,108700,25515,23.47286108555658,15.10164569215876,0,84.89835430784125,100,,78.28636585763154,,4.1537709724710865,,,18.162567193353965,0.03330269204231831,,,,"Precision requires human labels; coverage and agreement are measured, not called precision."
