event_id,ticker,detected_sec,missing_reason,category,direction,detection_date_et,base_sec,base_close,return_15m_pct,return_30m_pct,return_60m_pct,return_120m_pct,return_official_close_pct,return_next_session_close_pct,ohlc_sources,caveat
399d41e96524b5691ecfac9b,ASTL,1785361481,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
efad6a1636612da5d63f7e12,PCOR,1785361680,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
4e5bc29f646675e266a132bf,FORM,1785362010,,earnings_guidance,bullish,2026-07-29,1785362040,91.5,2.5224043715847078,2.5224043715847078,2.5224043715847078,2.5224043715847078,,15.169398907103826,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
a81fead449be1e3be2010976,FFAI,1785363029,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
1e304db49afbe3b4b392f02b,BOOM,1785363044,,earnings_guidance,bullish,2026-07-29,1785363060,6.71,-0.5871833084947764,,,,,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
db37ea974bd20a6273f13d1c,ASTL,1785363060,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
73ef77ab60948413562a6a25,SBFG,1785363071,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
defc65075904cb9b8f9d2f30,FORM,1785363248,,earnings_guidance,bullish,2026-07-29,1785398400,93.808,0,0,0,0,,12.335834896810493,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
5f9d7dfaa9424de52e9ee826,TENB,1785363412,,earnings_guidance,bullish,2026-07-29,1785363420,29.85,-0.176884422110557,,,,,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
91803a37c2e30a6cf00fa58a,SIMO,1785363479,,earnings_guidance,bullish,2026-07-29,1785363540,226,-1.2089380530973526,,,,,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
c9726159e73d7016c290ec48,BHE,1785363762,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
36466a37815345b7d69b0425,REF,1785366000,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
68ed87aa66a69c443f6e67d6,ALLT,1785366600,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
68ed87aa66a69c443f6e67d6,JMKE,1785366600,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
9acec9d9c957b299a20a73de,LRCX,1785367754,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
5aecd5f56133d818982a4ec2,MSFT,1785368987,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
9321ee5de318cb90ad62bb97,CSL,1785369479,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
0d665a823976b0ce9b1b7aa7,HOOD,1785369718,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
99058cc50e37edc92eb9498c,HOOD,1785370680,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
316a2a8f4ff6b724aa14fe6c,GD,1785408420,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
22fbe645ab305d93c26e9be9,ALNY,1785427339,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
22fbe645ab305d93c26e9be9,BMY,1785427339,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
22fbe645ab305d93c26e9be9,CAPR,1785427339,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
2242e429cf08d6b88145b557,AAPL,1785427493,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
2242e429cf08d6b88145b557,QCOM,1785427493,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
90608ec08f0f2feb9757acf0,YUM,1785428587,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
d83ff8a4d9032648c46d2392,APD,1785429497,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
9254d7d82612e566efcd42b0,TK,1785429505,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
58ba0103e8d494f34b9e0d62,SAIA,1785429920,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
276a3bd06d606b8e482a5d1b,BX,1785430034,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
9f854b2fda7b6ae160c9fbf6,SEGG,1785430176,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
d8390c8ae377ef43231614a9,RACE,1785430214,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
c27c8409c2a90da447b8f151,LEXX,1785430461,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
03dd7d7761ce64ce7189a477,CRM,1785430980,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
349d15881eaf6d90d0e946c5,BX,1785431377,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
4d843f0f9177e6ff0922ed95,WULF,1785431904,,merger_acquisition,mixed,2026-07-30,1785431940,18.055,,,,,-0.4430905566324972,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
92e4f8d522dfd33fd3c592b6,MRK,1785432060,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
94f1ce45cf8ebf7c29a8c055,XRX,1785432300,,geopolitical,uncertain,2026-07-30,1785432300,3.455,-1.302460202604916,0,-4.341534008683068,1.0709117221418207,-1.013024602026058,-15.629522431259046,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
ae2ddad844d09fca535ad43b,MLM,1785432708,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
e83e2b62bfea0547c78640e5,HITI,1785433260,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
2a4958449712e51b57837e63,EME,1785434263,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
7f0a761d16118019b4492184,TE,1785434627,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
e6a95aa8eef5773c1784c722,SRXH,1785434640,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
9fe8eec95e47aec7d473759a,ACCS,1785435300,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
24fdc180372dcc53bfef44c5,BAC,1785443640,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
39feeda960b0a45fd609c25f,GDYN,1785454646,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
460671b6bee076cbbcb82f3d,COLM,1785455345,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
edf1e6dd186498d4ba50d530,FSLR,1785521640,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
ab4a178ef2d55f7608039b13,HUBG,1785521700,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
e0688003dd22454649a50017,PBF,1785521760,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
77226c73649110d9eee4b45b,RES,1785522060,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
30b8b51ab61d8b99f847c4cd,CL,1785522420,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
6b01dec613bfdd57c1c588f1,PRCT,1785522540,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
855acdf192c005615cb5eb1b,BRCB,1785522600,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
98f8ea7944216a10133155cc,PRIM,1785522600,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
73ab85e0e070af5db5e3c1f0,REGN,1785522720,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
04d43af1c9b27c10a2e114b6,WIX,1785522780,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
2380c973900433af485d650c,EMBC,1785523140,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
3ac2a9a66437750e14bc9214,ADMA,1785523260,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
982730779ec672b951bb0e30,ERAS,1785523260,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
f6bccb72ad6dd79290fea81b,VRRM,1785523440,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
55bcf3e60d70e20c27423a6d,PICS,1785523500,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
e311a3ea941ae427b4ef3136,META,1785524651,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
e311a3ea941ae427b4ef3136,MSFT,1785524651,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
03c01119c373cb278df87cca,IONQ,1785525780,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
03c01119c373cb278df87cca,SKYT,1785525780,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
46cc97f8c9f2345f2e956bd0,ITGR,1785526123,,merger_acquisition,mixed,2026-07-31,1785526140,121.05,0.3925650557620841,0.14869888475836923,0.48740190004130657,,-0.2040479140850926,,"[""yahoo_chart_ohlcv""]",Price context only; no causal claim.
46cc97f8c9f2345f2e956bd0,KKR,1785526123,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
96a186069f2384640d7a0027,DLX,1785529800,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
e0e16eaed5ad558583eecd50,AFBI,1785529800,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
89f6a5341ad44f295e3fc622,VSEE,1785529981,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
a8dab307ff17e62ca5024397,NPK,1785531600,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
860380485b514a76047ec34e,PFSA,1785531781,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
5d2121094aa2eb02d66d4754,PFSA,1785532500,no_real_bar_at_or_after_detection,,,,,,,,,,,,,
